ACCESSION,EXPERIMENT,DESIGN,LENGTH,INSTRUMENT,BIOSAMPLE,TAXID,GENOME_ACCESSION,SPECIES,ASSEMBLY
SRR2966779,SRX1456226,PAIRED,-,Illumina HiSeq 2000,SAMN04302112,246432,GCA_001683315.1,Staphylococcus equorum,Complete Genome
SRR2968070,SRX1457517,SINGLE,-,Illumina HiSeq 2000,SAMN04304511,1744,GCA_900097245.1,Propionibacterium freudenreichii,Complete Genome
SRR2968071,SRX1457518,SINGLE,-,Illumina HiSeq 2000,SAMN04304512,1744,GCA_900097245.1,Propionibacterium freudenreichii,Complete Genome
SRR2968072,SRX1457519,SINGLE,-,Illumina HiSeq 2000,SAMN04304513,1744,GCA_900097245.1,Propionibacterium freudenreichii,Complete Genome
SRR2968073,SRX1457520,SINGLE,-,Illumina HiSeq 2000,SAMN04304514,1744,GCA_900097245.1,Propionibacterium freudenreichii,Complete Genome
SRR2968074,SRX1457521,SINGLE,-,Illumina HiSeq 2000,SAMN04304515,1744,GCA_900097245.1,Propionibacterium freudenreichii,Complete Genome
SRR2968075,SRX1457522,SINGLE,-,Illumina HiSeq 2000,SAMN04304516,1744,GCA_900097245.1,Propionibacterium freudenreichii,Complete Genome
SRR3032163,SRX1491234,PAIRED,302,Illumina MiSeq,SAMN04305932,208964,GCA_000006765.1,Pseudomonas aeruginosa PAO1,Complete Genome
SRR3032164,SRX1491235,PAIRED,302,Illumina MiSeq,SAMN04305932,208964,GCA_000006765.1,Pseudomonas aeruginosa PAO1,Complete Genome
SRR3032165,SRX1491236,PAIRED,302,Illumina MiSeq,SAMN04305932,208964,GCA_000006765.1,Pseudomonas aeruginosa PAO1,Complete Genome
SRR3032166,SRX1491237,PAIRED,302,Illumina MiSeq,SAMN04305932,208964,GCA_000006765.1,Pseudomonas aeruginosa PAO1,Complete Genome
SRR3032167,SRX1491238,PAIRED,302,Illumina MiSeq,SAMN04305932,208964,GCA_000006765.1,Pseudomonas aeruginosa PAO1,Complete Genome
SRR3032168,SRX1491239,PAIRED,302,Illumina MiSeq,SAMN04305932,208964,GCA_000006765.1,Pseudomonas aeruginosa PAO1,Complete Genome
SRR2968843,SRX1458211,PAIRED,200,Illumina HiSeq 2000,SAMN04299237,1396,GCA_002813875.1,Bacillus cereus,Complete Genome
SRR2970434,SRX1459665,PAIRED,-,Illumina MiSeq,SAMN04309129,1314,GCA_002844355.1,Streptococcus pyogenes,Complete Genome
SRR2970435,SRX1459666,PAIRED,-,Illumina MiSeq,SAMN04309130,1314,GCA_002844355.1,Streptococcus pyogenes,Complete Genome
SRR2970436,SRX1459667,PAIRED,-,Illumina MiSeq,SAMN04309131,1314,GCA_002844355.1,Streptococcus pyogenes,Complete Genome
SRR2970437,SRX1459668,PAIRED,-,Illumina MiSeq,SAMN04309132,1314,GCA_002844355.1,Streptococcus pyogenes,Complete Genome
SRR2970438,SRX1459669,PAIRED,-,Illumina MiSeq,SAMN04309133,1314,GCA_002844355.1,Streptococcus pyogenes,Complete Genome
SRR2970439,SRX1459670,PAIRED,-,Illumina MiSeq,SAMN04309134,1314,GCA_002844355.1,Streptococcus pyogenes,Complete Genome
SRR2970440,SRX1459671,PAIRED,-,Illumina MiSeq,SAMN04309135,1314,GCA_002844355.1,Streptococcus pyogenes,Complete Genome
SRR2970441,SRX1459672,PAIRED,-,Illumina MiSeq,SAMN04309136,1314,GCA_002844355.1,Streptococcus pyogenes,Complete Genome
SRR2972838,SRX1462126,PAIRED,300,Illumina HiSeq 2500,SAMN04305956,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2972839,SRX1462127,PAIRED,300,Illumina HiSeq 2500,SAMN04305957,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2972843,SRX1462128,PAIRED,300,Illumina HiSeq 2500,SAMN04305958,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2972860,SRX1462129,PAIRED,300,Illumina HiSeq 2500,SAMN04305959,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2972890,SRX1462102,PAIRED,300,Illumina HiSeq 2500,SAMN04305947,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2972892,SRX1462103,PAIRED,300,Illumina HiSeq 2500,SAMN04305948,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2972894,SRX1462130,PAIRED,300,Illumina HiSeq 2500,SAMN04305960,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2972945,SRX1462131,PAIRED,300,Illumina HiSeq 2500,SAMN04305961,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2972946,SRX1462104,PAIRED,300,Illumina HiSeq 2500,SAMN04305954,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2973264,SRX1462105,PAIRED,300,Illumina HiSeq 2500,SAMN04305955,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2973265,SRX1462132,PAIRED,300,Illumina HiSeq 2500,SAMN04305962,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2973266,SRX1462164,PAIRED,300,Illumina HiSeq 2500,SAMN04305963,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2973267,SRX1462171,PAIRED,300,Illumina HiSeq 2500,SAMN04305503,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2973268,SRX1462217,PAIRED,300,Illumina HiSeq 2500,SAMN04305946,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2973269,SRX1462172,PAIRED,300,Illumina HiSeq 2500,SAMN04305504,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2976085,SRX1462169,PAIRED,300,Illumina HiSeq 2500,SAMN04305502,59201,GCA_002504125.1,Salmonella enterica subsp. enterica,Complete Genome
SRR2976605,SRX1459752,SINGLE,2000,Illumina HiSeq 2000,SAMN04309299,666,GCA_900185995.1,Vibrio cholerae,Complete Genome
SRR2976709,SRX1459752,SINGLE,2000,Illumina HiSeq 2000,SAMN04309299,666,GCA_900185995.1,Vibrio cholerae,Complete Genome
SRR2976710,SRX1466114,SINGLE,0,454 GS,SAMN04309299,666,GCA_900185995.1,Vibrio cholerae,Complete Genome
SRR2976700,SRX1466095,SINGLE,-,Illumina HiSeq 2500,SAMN04320699,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
SRR2976701,SRX1466096,SINGLE,-,Illumina HiSeq 2500,SAMN04320700,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
SRR2976702,SRX1466097,SINGLE,-,Illumina HiSeq 2500,SAMN04320701,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
SRR2976703,SRX1466098,SINGLE,-,Illumina HiSeq 2500,SAMN04320702,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
SRR2976704,SRX1466099,SINGLE,-,Illumina HiSeq 2500,SAMN04320703,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
SRR2976705,SRX1466100,SINGLE,-,Illumina HiSeq 2500,SAMN04320704,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
SRR2976706,SRX1466101,SINGLE,-,Illumina HiSeq 2500,SAMN04320705,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
SRR2976707,SRX1466102,SINGLE,-,Illumina HiSeq 2500,SAMN04320706,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
SRR2982421,SRX1471744,SINGLE,-,Illumina HiSeq 2000,SAMN04326731,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982422,SRX1471745,SINGLE,-,Illumina HiSeq 2000,SAMN04326732,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982423,SRX1471746,SINGLE,-,Illumina HiSeq 2000,SAMN04326733,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982424,SRX1471747,SINGLE,-,Illumina HiSeq 2000,SAMN04326734,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982425,SRX1471748,SINGLE,-,Illumina HiSeq 2000,SAMN04326735,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982426,SRX1471749,SINGLE,-,Illumina HiSeq 2000,SAMN04326736,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982427,SRX1471750,SINGLE,-,Illumina HiSeq 2000,SAMN04326737,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982428,SRX1471751,SINGLE,-,Illumina HiSeq 2000,SAMN04326738,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982429,SRX1471752,SINGLE,-,NextSeq 500,SAMN04326739,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982430,SRX1471753,SINGLE,-,NextSeq 500,SAMN04326740,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982431,SRX1471754,SINGLE,-,NextSeq 500,SAMN04326741,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982432,SRX1471755,SINGLE,-,NextSeq 500,SAMN04326742,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982433,SRX1471756,SINGLE,-,NextSeq 500,SAMN04326743,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982434,SRX1471757,SINGLE,-,NextSeq 500,SAMN04326744,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982435,SRX1471758,SINGLE,-,NextSeq 500,SAMN04326745,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982436,SRX1471759,SINGLE,-,NextSeq 500,SAMN04326746,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982437,SRX1471760,SINGLE,-,NextSeq 500,SAMN04326747,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982438,SRX1471761,SINGLE,-,NextSeq 500,SAMN04326748,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982439,SRX1471762,SINGLE,-,NextSeq 500,SAMN04326749,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982440,SRX1471763,SINGLE,-,NextSeq 500,SAMN04326750,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982441,SRX1471764,SINGLE,-,NextSeq 500,SAMN04326751,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982442,SRX1471765,SINGLE,-,NextSeq 500,SAMN04326752,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982443,SRX1471766,SINGLE,-,NextSeq 500,SAMN04326753,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982444,SRX1471767,SINGLE,-,NextSeq 500,SAMN04326754,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982445,SRX1471768,SINGLE,-,NextSeq 500,SAMN04326755,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982446,SRX1471769,SINGLE,-,NextSeq 500,SAMN04326756,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982447,SRX1471770,SINGLE,-,NextSeq 500,SAMN04326757,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982448,SRX1471771,SINGLE,-,NextSeq 500,SAMN04326758,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982449,SRX1471772,SINGLE,-,NextSeq 500,SAMN04326759,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982450,SRX1471773,SINGLE,-,NextSeq 500,SAMN04326760,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982451,SRX1471774,SINGLE,-,NextSeq 500,SAMN04326761,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982452,SRX1471775,SINGLE,-,NextSeq 500,SAMN04326762,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982453,SRX1471776,SINGLE,-,NextSeq 500,SAMN04326793,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982454,SRX1471777,SINGLE,-,NextSeq 500,SAMN04326794,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982455,SRX1471778,SINGLE,-,NextSeq 500,SAMN04326795,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982456,SRX1471779,SINGLE,-,NextSeq 500,SAMN04326796,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982457,SRX1471780,SINGLE,-,NextSeq 500,SAMN04326797,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982458,SRX1471781,SINGLE,-,NextSeq 500,SAMN04326798,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982459,SRX1471782,SINGLE,-,NextSeq 500,SAMN04326799,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982460,SRX1471783,SINGLE,-,NextSeq 500,SAMN04326804,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982461,SRX1471784,SINGLE,-,NextSeq 500,SAMN04326805,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982462,SRX1471785,SINGLE,-,NextSeq 500,SAMN04326806,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982463,SRX1471786,SINGLE,-,NextSeq 500,SAMN04326807,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982464,SRX1471787,SINGLE,-,NextSeq 500,SAMN04326808,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982465,SRX1471788,SINGLE,-,NextSeq 500,SAMN04326809,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982466,SRX1471789,SINGLE,-,NextSeq 500,SAMN04326800,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982467,SRX1471790,SINGLE,-,NextSeq 500,SAMN04326801,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982468,SRX1471791,SINGLE,-,NextSeq 500,SAMN04326802,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982469,SRX1471792,SINGLE,-,NextSeq 500,SAMN04326803,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982470,SRX1471793,SINGLE,-,NextSeq 500,SAMN04326810,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982471,SRX1471794,SINGLE,-,NextSeq 500,SAMN04326811,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982472,SRX1471795,SINGLE,-,NextSeq 500,SAMN04326812,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982473,SRX1471796,SINGLE,-,NextSeq 500,SAMN04326813,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982474,SRX1471797,SINGLE,-,NextSeq 500,SAMN04326814,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982475,SRX1471798,SINGLE,-,NextSeq 500,SAMN04326815,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982476,SRX1471799,SINGLE,-,NextSeq 500,SAMN04326816,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982477,SRX1471800,SINGLE,-,NextSeq 500,SAMN04326817,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982478,SRX1471801,SINGLE,-,NextSeq 500,SAMN04326818,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982479,SRX1471802,SINGLE,-,NextSeq 500,SAMN04326819,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982480,SRX1471803,SINGLE,-,NextSeq 500,SAMN04326820,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982481,SRX1471804,SINGLE,-,NextSeq 500,SAMN04326821,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982482,SRX1471805,SINGLE,-,NextSeq 500,SAMN04326822,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982483,SRX1471806,SINGLE,-,NextSeq 500,SAMN04326763,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982484,SRX1471807,SINGLE,-,NextSeq 500,SAMN04326764,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982485,SRX1471808,SINGLE,-,NextSeq 500,SAMN04326765,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982486,SRX1471809,SINGLE,-,NextSeq 500,SAMN04326766,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982487,SRX1471810,SINGLE,-,NextSeq 500,SAMN04326767,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982488,SRX1471811,SINGLE,-,NextSeq 500,SAMN04326768,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982489,SRX1471812,SINGLE,-,NextSeq 500,SAMN04326769,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982490,SRX1471813,SINGLE,-,NextSeq 500,SAMN04326770,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982491,SRX1471814,SINGLE,-,NextSeq 500,SAMN04326771,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982492,SRX1471815,SINGLE,-,NextSeq 500,SAMN04326772,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982493,SRX1471816,SINGLE,-,NextSeq 500,SAMN04326773,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982494,SRX1471817,SINGLE,-,NextSeq 500,SAMN04326774,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982495,SRX1471818,SINGLE,-,NextSeq 500,SAMN04326775,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982496,SRX1471819,SINGLE,-,NextSeq 500,SAMN04326776,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982497,SRX1471820,SINGLE,-,NextSeq 500,SAMN04326777,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982498,SRX1471821,SINGLE,-,NextSeq 500,SAMN04326778,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982499,SRX1471822,SINGLE,-,NextSeq 500,SAMN04326779,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982500,SRX1471823,SINGLE,-,NextSeq 500,SAMN04326780,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982501,SRX1471824,SINGLE,-,NextSeq 500,SAMN04326781,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982502,SRX1471825,SINGLE,-,NextSeq 500,SAMN04326782,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982503,SRX1471826,SINGLE,-,NextSeq 500,SAMN04326783,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982504,SRX1471827,SINGLE,-,NextSeq 500,SAMN04326784,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982505,SRX1471828,SINGLE,-,NextSeq 500,SAMN04326785,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982506,SRX1471829,SINGLE,-,NextSeq 500,SAMN04326786,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982507,SRX1471830,SINGLE,-,NextSeq 500,SAMN04326787,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2982508,SRX1471831,SINGLE,-,NextSeq 500,SAMN04326788,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR2984941,SRX1473807,SINGLE,50,Illumina HiSeq 2500,SAMN04317217,1423,GCA_002290305.1,Bacillus subtilis,Complete Genome
SRR2984942,SRX1473808,SINGLE,50,Illumina HiSeq 2500,SAMN04317218,1423,GCA_002290305.1,Bacillus subtilis,Complete Genome
SRR2984943,SRX1473809,SINGLE,50,Illumina HiSeq 2500,SAMN04317219,1423,GCA_002290305.1,Bacillus subtilis,Complete Genome
SRR3032892,SRX1491628,PAIRED,200,Illumina HiSeq 2500,SAMN04285311,34021,GCA_002216815.1,Candidatus Liberibacter asiaticus,Complete Genome
SRR3017258,SRX1485110,PAIRED,-,NextSeq 500,SAMN04330143,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017259,SRX1485115,PAIRED,-,NextSeq 500,SAMN04330144,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017306,SRX1485119,PAIRED,-,NextSeq 500,SAMN04330145,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017325,SRX1485123,PAIRED,-,NextSeq 500,SAMN04330146,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017353,SRX1485134,PAIRED,-,NextSeq 500,SAMN04330147,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017377,SRX1485135,PAIRED,-,NextSeq 500,SAMN04330148,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017378,SRX1485136,PAIRED,-,NextSeq 500,SAMN04330149,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017380,SRX1485137,PAIRED,-,NextSeq 500,SAMN04330150,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017381,SRX1485138,PAIRED,-,NextSeq 500,SAMN04330151,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017383,SRX1485142,PAIRED,-,NextSeq 500,SAMN04330152,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017406,SRX1485143,PAIRED,-,NextSeq 500,SAMN04330153,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017430,SRX1485148,PAIRED,-,NextSeq 500,SAMN04330154,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017433,SRX1485149,PAIRED,-,NextSeq 500,SAMN04330155,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017506,SRX1485160,PAIRED,-,NextSeq 500,SAMN04330156,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017510,SRX1485161,PAIRED,-,NextSeq 500,SAMN04330392,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017512,SRX1485162,PAIRED,-,NextSeq 500,SAMN04330157,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017537,SRX1485166,PAIRED,-,NextSeq 500,SAMN04330393,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017538,SRX1485167,PAIRED,-,NextSeq 500,SAMN04330158,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017540,SRX1485168,PAIRED,-,NextSeq 500,SAMN04330394,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017564,SRX1485172,PAIRED,-,NextSeq 500,SAMN04330159,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017566,SRX1485245,PAIRED,-,NextSeq 500,SAMN04330395,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017567,SRX1485246,PAIRED,-,NextSeq 500,SAMN04330160,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017569,SRX1485247,PAIRED,-,NextSeq 500,SAMN04330396,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017656,SRX1485248,PAIRED,-,NextSeq 500,SAMN04330161,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017657,SRX1485249,PAIRED,-,NextSeq 500,SAMN04330397,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017658,SRX1485250,PAIRED,-,NextSeq 500,SAMN04330162,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017659,SRX1485251,PAIRED,-,NextSeq 500,SAMN04330398,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017660,SRX1485252,PAIRED,-,NextSeq 500,SAMN04330163,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017661,SRX1485253,PAIRED,-,NextSeq 500,SAMN04330164,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017662,SRX1485255,PAIRED,-,NextSeq 500,SAMN04330399,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017663,SRX1485256,PAIRED,-,NextSeq 500,SAMN04330165,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017664,SRX1485257,PAIRED,-,NextSeq 500,SAMN04330166,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017665,SRX1485258,PAIRED,-,NextSeq 500,SAMN04330400,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017666,SRX1485259,PAIRED,-,NextSeq 500,SAMN04330167,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017667,SRX1485260,PAIRED,-,NextSeq 500,SAMN04330401,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017668,SRX1485261,PAIRED,-,NextSeq 500,SAMN04330168,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017669,SRX1485262,PAIRED,-,NextSeq 500,SAMN04330402,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017670,SRX1485263,PAIRED,-,NextSeq 500,SAMN04330169,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017671,SRX1485264,PAIRED,-,NextSeq 500,SAMN04330403,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017672,SRX1485265,PAIRED,-,NextSeq 500,SAMN04330404,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017674,SRX1485267,PAIRED,-,NextSeq 500,SAMN04330170,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017675,SRX1485268,PAIRED,-,NextSeq 500,SAMN04330405,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017676,SRX1485269,PAIRED,-,NextSeq 500,SAMN04330171,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017677,SRX1485270,PAIRED,-,NextSeq 500,SAMN04330406,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017678,SRX1485271,PAIRED,-,NextSeq 500,SAMN04330172,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017679,SRX1485272,PAIRED,-,NextSeq 500,SAMN04330173,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017680,SRX1485273,PAIRED,-,NextSeq 500,SAMN04330407,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017681,SRX1485274,PAIRED,-,NextSeq 500,SAMN04330174,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017682,SRX1485275,PAIRED,-,NextSeq 500,SAMN04330408,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017683,SRX1485276,PAIRED,-,NextSeq 500,SAMN04330175,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017684,SRX1485277,PAIRED,-,NextSeq 500,SAMN04330176,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017708,SRX1485284,PAIRED,-,NextSeq 500,SAMN04330409,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017756,SRX1485289,PAIRED,-,NextSeq 500,SAMN04330177,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017757,SRX1485290,PAIRED,-,NextSeq 500,SAMN04330178,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017758,SRX1485291,PAIRED,-,NextSeq 500,SAMN04330410,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017759,SRX1485292,PAIRED,-,NextSeq 500,SAMN04330179,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR3017760,SRX1485293,PAIRED,-,NextSeq 500,SAMN04330411,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR3017805,SRX1485303,PAIRED,-,NextSeq 500,SAMN04330180,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
